1,Australia
2,China
3,Australia
4,China
5,Japan
6,China
7,Japan
8,Thailand
9,China
10,Australia
11,China
12,Japan
13,Thailand
14,China
15,Australia
16,China
17,Thailand
18,China
19,Australia
20,China
21,Thailand
22,Japan
23,India
24,China
25,Malaysia
26,China
27,Australia
28,China
29,Thailand
30,"Korea, Republic of"
31,China
32,"Korea, Republic of"
33,-
34,"Korea, Republic of"
35,-
36,Thailand
37,Japan
38,India
39,United States
40,India
41,China
42,Malaysia
43,Singapore
44,Hong Kong
45,Singapore
46,"Taiwan, Province of China"
47,Singapore
48,"Taiwan, Province of China"
49,"Korea, Republic of"
50,Japan
51,United States
52,Hong Kong
53,Japan
54,"Taiwan, Province of China"
55,Hong Kong
56,Philippines
57,India
58,Australia
59,China
60,Thailand
61,China
62,Viet Nam
63,China
64,Hong Kong
65,Japan
66,China
67,Japan
68,China
69,"Korea, Republic of"
70,Japan
71,China
72,Australia
73,"Taiwan, Province of China"
74,Norway
75,"Taiwan, Province of China"
76,"Korea, Republic of"
77,Australia
78,Thailand
79,China
80,India
81,China
82,"Taiwan, Province of China"
83,"Korea, Republic of"
84,China
85,"Korea, Republic of"
86,France
87,United States
88,France
89,Netherlands
90,United Kingdom
91,Germany
92,Spain
93,United Kingdom
94,Germany
95,France
96,United States
97,Germany
98,United Kingdom
99,United States
100,United Kingdom
101,Italy
102,Germany
103,Poland
104,Italy
105,United Kingdom
106,Germany
107,United States
108,United Kingdom
109,Australia
110,United Kingdom
111,Spain
112,Japan
113,United States
114,Netherlands
115,United Kingdom
116,Germany
117,Netherlands
118,United Kingdom
119,Germany
120,Netherlands
121,France
122,Netherlands
123,Hong Kong
124,Czech Republic
125,United Kingdom
126,Germany
127,Denmark
128,Germany
129,Portugal
130,Sweden
131,United States
132,Spain
133,Netherlands
134,United Kingdom
135,"Congo, The Democratic Republic of The"
136,Spain
137,Italy
138,Ireland
139,Netherlands
140,Italy
141,Turkey
142,United States
143,Germany
144,United Kingdom
145,Netherlands
146,Poland
147,United Kingdom
148,Germany
149,Netherlands
150,Germany
151,Netherlands
152,Germany
153,Spain
154,United Kingdom
155,United States
156,France
157,United Kingdom
158,Germany
159,France
160,Germany
161,France
162,Germany
163,France
164,United Kingdom
165,Germany
166,Czech Republic
167,Japan
168,United Kingdom
169,Italy
170,France
171,United Kingdom
172,United States
173,Germany
174,Finland
175,United States
176,United Kingdom
177,Germany
178,United States
179,Poland
180,Russian Federation
181,Sweden
182,United States
183,Germany
184,United Arab Emirates
185,Russian Federation
186,United Kingdom
187,Germany
188,France
189,Germany
190,United Kingdom
191,Russian Federation
192,Netherlands
193,United Kingdom
194,Germany
195,Poland
196,Germany
197,Sweden
198,United Kingdom
199,Ireland
200,Greece
201,United Kingdom
202,Germany
203,United States
204,Germany
205,Brazil
206,Germany
207,Netherlands
208,Germany
209,Netherlands
210,Germany
211,Greece
212,Brazil
213,United Kingdom
214,Austria
215,Germany
216,United Kingdom
217,Germany
218,United Kingdom
219,United States
220,United Kingdom
221,Hong Kong
222,Germany
223,France
224,Spain
225,France
226,Spain
227,United Kingdom
228,Sweden
229,France
230,Spain
231,Germany
232,France
233,Germany
234,Hong Kong
235,United States
236,Netherlands
237,Germany
238,Italy
239,France
240,United Kingdom
241,Sweden
242,United States
243,Finland
244,United Kingdom
245,United States
246,Spain
247,Poland
248,Sweden
249,Germany
250,United States
251,Germany
252,United States
253,Germany
254,Luxembourg
255,United Kingdom
256,Germany
257,Italy
258,Netherlands
259,United Kingdom
260,Spain
261,Sweden
262,Spain
263,Canada
264,Germany
265,United Kingdom
266,Netherlands
267,Italy
268,Uganda
269,Armenia
270,Mauritius
271,Germany
272,United Kingdom
273,Germany
274,United Kingdom
275,Germany
276,United Kingdom
277,Germany
278,United Kingdom
279,Germany
280,Spain
281,Netherlands
282,Germany
283,United States
284,Poland
285,Germany
286,United Kingdom
287,Germany
288,United Kingdom
289,United States
290,Argentina
291,Uruguay
292,United Kingdom
293,Brazil
294,Germany
295,Brazil
296,Sweden
297,Greece
298,Germany
299,United States
300,Germany
301,United Kingdom
302,Belgium
303,France
304,Germany
305,Poland
306,Italy
307,Germany
308,Netherlands
309,United Kingdom
310,Spain
311,United States
312,United Kingdom
313,Germany
314,United Kingdom
315,Germany
316,United States
317,Italy
318,Ireland
319,Netherlands
320,United States
321,United Kingdom
322,France
323,Italy
324,Finland
325,United States
326,Germany
327,United Kingdom
328,Germany
329,Spain
330,United Kingdom
331,Netherlands
332,Germany
333,United Kingdom
334,United States
335,Poland
336,France
337,Germany
338,Poland
339,Argentina
340,Sweden
341,United States
342,Hong Kong
343,Spain
344,Netherlands
345,United States
346,Germany
347,United States
348,France
349,Germany
350,Netherlands
351,Germany
352,United States
353,Uruguay
354,Italy
355,Finland
356,United States
357,France
358,United Kingdom
359,Italy
360,United States
361,Germany
362,Netherlands
363,France
364,United States
365,Hong Kong
366,Germany
367,Spain
368,Bulgaria
369,France
370,United States
371,France
372,Germany
373,Netherlands
374,United States
375,Brazil
376,Germany
377,Poland
378,Sweden
379,Italy
380,Spain
381,Germany
382,Netherlands
383,Germany
384,Netherlands
385,United States
386,Hong Kong
387,Germany
388,Netherlands
389,Germany
390,Brazil
391,Italy
392,Israel
393,Italy
394,Netherlands
395,France
396,Germany
397,United States
398,Sweden
399,Italy
400,Germany
401,Sweden
402,Italy
403,Germany
404,Belgium
405,Germany
406,Italy
407,Germany
408,United Kingdom
409,France
410,Sweden
411,United Kingdom
412,Germany
413,United Arab Emirates
414,France
415,Italy
416,Russian Federation
417,France
418,Russian Federation
419,United States
420,United Kingdom
421,Germany
422,Italy
423,Germany
424,Italy
425,Germany
426,United States
427,Germany
428,Sweden
429,Germany
430,United States
431,United Kingdom
432,Bulgaria
433,Spain
434,United Kingdom
435,Netherlands
436,United Kingdom
437,Czech Republic
438,Germany
439,United Kingdom
440,Germany
441,France
442,Poland
443,Germany
444,Ukraine
445,Russian Federation
446,United States
447,Sweden
448,France
449,Sweden
450,South Africa
451,Germany
452,South Africa
453,Germany
454,France
455,Germany
456,Italy
457,Portugal
458,Austria
459,Ukraine
460,United Kingdom
461,Germany
462,Brazil
463,United Kingdom
464,Sweden
465,United States
466,France
467,Germany
468,United States
469,United Arab Emirates
470,South Africa
471,Germany
472,Sweden
473,Russian Federation
474,Germany
475,Netherlands
476,France
477,Germany
478,Netherlands
479,Germany
480,France
481,Netherlands
482,Sweden
483,Germany
484,United Kingdom
485,Italy
486,France
487,Uruguay
488,France
489,United Kingdom
490,Sweden
491,United States
492,Sweden
493,United Kingdom
494,France
495,Germany
496,United States
497,Poland
498,Netherlands
499,Spain
500,Belgium
501,Germany
502,Sweden
503,Germany
504,Denmark
505,Germany
506,United States
507,Brazil
508,Germany
509,United Kingdom
510,France
511,Germany
512,United Kingdom
513,Germany
514,Spain
515,United Kingdom
516,Germany
517,Spain
518,United Kingdom
519,France
520,Brazil
521,United States
522,Sweden
523,Germany
524,France
525,United States
526,France
527,United States
528,France
529,United States
530,France
531,United States
532,France
533,United States
534,France
535,United States
536,France
537,United States
538,France
539,United States
540,France
541,United States
542,France
543,United States
544,Germany
545,Netherlands
546,United Kingdom
547,Germany
548,Japan
549,United Kingdom
550,Israel
551,Spain
552,Netherlands
553,United States
554,Russian Federation
555,Sweden
556,Germany
557,United States
558,Germany
559,United Kingdom
560,Spain
561,Italy
562,Germany
563,Italy
564,Germany
565,Italy
566,Sweden
567,Hong Kong
568,United States
569,Poland
570,United Kingdom
571,Austria
572,Brazil
573,United Kingdom
574,Germany
575,Argentina
576,Germany
577,Poland
578,Greece
579,United States
580,Greece
581,United States
582,Greece
583,Sweden
584,United States
585,Germany
586,Russian Federation
587,Germany
588,United Kingdom
589,Germany
590,United Kingdom
591,Germany
592,United Kingdom
593,Qatar
594,United Kingdom
595,Italy
596,United Arab Emirates
597,Israel
598,-
599,Russian Federation
600,Sweden
601,Kazakhstan
602,Portugal
603,Greece
604,Saudi Arabia
605,Russian Federation
606,United Kingdom
607,United States
608,United Kingdom
609,Denmark
610,Latvia
611,Denmark
612,Italy
613,United Kingdom
614,Denmark
615,Kazakhstan
616,Spain
617,"Iran, Islamic Republic of"
618,Norway
619,Spain
620,Italy
621,Germany
622,United States
623,Germany
624,"Iran, Islamic Republic of"
625,Italy
626,Germany
627,United States
628,Germany
629,United Kingdom
630,Italy
631,Germany
632,Sweden
633,United States
634,Canada
635,United States
636,Mexico
637,United States
638,Hong Kong
639,United States
640,Canada
641,United States
642,Canada
643,United States
644,Canada
645,United States
646,Canada
647,United States
648,Canada
649,United States
650,United Kingdom
651,United States
652,United Kingdom
653,United States
654,France
655,United States
656,France
657,United States
658,Japan
659,United States
660,France
661,Germany
662,United States
663,United Kingdom
664,United States
665,United Kingdom
666,United States
667,United Kingdom
668,United States
669,Syrian Arab Republic
670,Ukraine
671,Spain
672,Kuwait
673,Saudi Arabia
674,Bahrain
675,Lebanon
676,United Arab Emirates
677,Qatar
678,Oman
679,Jordan
680,Russian Federation
681,Czech Republic
682,Germany
683,United Kingdom
684,Germany
685,United Kingdom
686,Germany
687,United Kingdom
688,Germany
689,Switzerland
690,Iraq
691,Turkey
692,Iraq
693,Switzerland
694,Germany
695,Italy
696,United Kingdom
697,Spain
698,Russian Federation
699,Netherlands
700,Turkey
701,Spain
702,United Kingdom
703,Romania
704,Russian Federation
705,Germany
706,Russian Federation
707,Cyprus
708,Russian Federation
709,Luxembourg
710,Russian Federation
711,Ukraine
712,Netherlands
713,Ukraine
714,Netherlands
715,Russian Federation
716,Luxembourg
717,Russian Federation
718,Ukraine
719,Russian Federation
720,Ukraine
721,United States
722,Russian Federation
723,Luxembourg
724,Russian Federation
725,Netherlands
726,Russian Federation
727,Italy
728,Lebanon
729,Russian Federation
730,Spain
731,Russian Federation
732,Iraq
733,Russian Federation
734,Spain
735,Germany
736,United Kingdom
737,Canada
738,United States
739,United Kingdom
740,United States
741,United Kingdom
742,Georgia
743,Germany
744,Netherlands
745,United Kingdom
746,France
747,United Kingdom
748,Germany
749,France
750,Turkey
751,United Kingdom
752,Germany
753,Netherlands
754,Singapore
755,China
