,IP,ASN
443509,162.78.192.0,BSD405 - Bellevue School District #405
443516,162.82.156.0,WBH-ISC-RO - William Beaumont Hospital
443617,162.89.128.0,"CITY-OF-AUSTIN - City of Austin, Texas"
443619,162.90.50.0,COL - City Of Leesburg
443631,162.90.192.0,"SKADDEN1 - Skadden, Arps, Slate, Meagher & Flom LLP"
443645,162.92.191.0,AS53741 - American Airlines Inc.
443705,162.93.254.0,"CHARLES-SCHWAB - Charles Schwab & Co., Inc."
443735,162.97.198.0,IVAS01 - Altay Corporation
443809,162.106.0.0,EDMONTON-CA - The City of Edmonton
443813,162.107.192.0,DONALDSON - Donaldson Company
443829,162.112.248.0,AIRNZ-AS2-NZ Air New Zealand Limited
443852,162.116.247.0,"ALLERGAN - Allergan, Inc."
443886,162.121.0.0,SLEHS - St. Luke's Episcopal Hospital
443967,162.130.0.0,MARRIOT-ASN - Marriot Corporation
443976,162.134.102.0,LABCORP - Laboratory Corporation of America
444022,162.136.254.0,HLIC - Hartford Life Insurance Company
444056,162.138.217.0,US-SEC - U.S. Securities & Exchange Commission
444061,162.140.252.0,GPO-NET - U.S. Government Printing Office
444064,162.142.4.0,"BEACON-HEALTH-SYSTEM - Beacon Health System, Inc."
444082,162.145.19.0,CUSTOMS-AS-AP Department of Immigration and Border Protection
444104,162.155.202.0,"ECS - ECS Tuning, LLC"
444306,162.208.16.0,TELLARC-ASN1 - Tellarc LLC
444314,162.208.31.0,MTS-HEALTHCARE - MTS Healthcare
444326,162.208.56.0,CLOUDBURST - RainWorx
444337,162.208.76.0,CHILDRENSMN - Childrens Hospitals and Clinics of Minnesota
444344,162.208.91.0,IMPER-AS-1 - Imperium Inc.
444354,162.208.107.0,SMITH-AND-HAMMAKER - SMITH & HAMMAKER
444363,162.208.124.0,"QUANTACT - Quantact Hosting Solutions, Inc."
444375,162.210.12.0,ALPHA-TECHNOLOGIES - Alpha Technologies Inc
444404,162.210.58.0,COMMUNICATEFREELY - Communicate Freely
444407,162.210.67.0,GRIFFIN - Griffin Technology
444438,162.210.119.0,CALLIS-COMMUNICATIONS-AS18896 - Callis Communications
444443,162.210.131.0,"ARISTAASN1 - Arista Networks, Inc."
444457,162.210.160.0,COLUMBIA-WIRELESS - Columbia Wireless Inc
444471,162.210.183.0,MIDRANGE-AS - Mid-Range Computer Group Inc.
444473,162.210.185.0,IDS - IDS
444489,162.210.223.0,CARVERLINK - CarverLink
444490,162.210.224.0,EDA - 9217-0182 Quebec inc.
444495,162.210.231.0,"ARBUCKLE-COMMUNICATIONS - Arbuckle Communications, LLC"
444502,162.210.243.0,RCI - RCI Broadband
444511,162.211.0.0,"MWFN - Midwest Fiber Networks, LLC"
444513,162.211.10.0,INFINITEIT-ASN-01 - Infinite IT Solutions Inc.
444525,162.211.31.0,"PROGENT-ASN-1 - Progent, Corp."
444529,162.211.45.0,COFKM - City of Kings Mountain
444543,162.211.72.0,SJRMC-NJ - St. Joseph's Medical Center
444544,162.211.76.0,DEASIL-NETWORKS - Deasil Networks
444552,162.211.99.0,9219-1568QUEBEC-NET7777 - 9219-1568 Quebec Inc.
444557,162.211.111.0,NYFH - New York Foundling
444570,162.211.134.0,UNITEDLEX - UnitedLex Corporation
444582,162.211.158.0,"TAXHAWK-AS - TaxHawk, Inc."
444594,162.211.184.0,WAVEDIRECT-CDN - WaveDirect Telecommunications
444595,162.211.188.0,09172010 - Strategic Response Systems
444597,162.211.200.0,SYSTEMSSOLUTION - Systems Solution
444610,162.211.244.0,IMPREZZIO-LLIX - Imprezzio Inc
444613,162.211.250.0,ATUM-NETWORK - ATUM CORPORATION
444617,162.211.255.0,WHOA-NETWORKS - Whoa Networks Inc
444633,162.212.15.0,BVI-DIG - Digicel BVI Limited
444635,162.212.20.0,ASCENT-NETWORKS-INC - Ascent Networks Inc
444643,162.212.31.0,WLETC - Wireless Etc Inc.
444645,162.212.36.0,"ROCKETSPACE-SFO1 - Rocket Space, Inc."
444658,162.212.53.0,HORIZON-BLUE-CROSS-BLUE-SHIELD-OF-NJ - HORIZON BLUE CROSS BLUE SHIELD OF NJ
444673,162.212.79.0,"BULLE - Bulle Media Group, Inc."
444674,162.212.80.0,COMM-OF-BASEBALL - Major League Baseball
444687,162.212.110.0,BRECKINRIDGE-AS - Breckinridge Capital Advisors
444700,162.212.136.0,RUSSEPB - Russellville Electric Plant Board
444705,162.212.150.0,BURNINGMAN - Burning Man
444717,162.212.176.0,"ASNTULIX - Tulix Systems, Inc."
444734,162.212.216.0,"ALCAZAR-EAST - Alcazar Networks, Inc"
444746,162.212.241.0,SHNAC1 - Skyhigh Networks Inc
444758,162.213.4.0,"KUSI-SUBTAC001 - Kentucky Underground Storage, Inc."
444795,162.213.71.0,MILLICORP - Millicorp
444808,162.213.98.0,"NESTLABS - Nest Labs, Inc."
444823,162.213.130.0,SCHWARTZNET-BNA - Schwartz Networks Limited Liability Company
444841,162.213.169.0,SATTEL - SAT TELECOMMUNICATIONS LTD
444844,162.213.176.0,MUSFIBERNET - Morristown Utility Systems
444854,162.213.195.0,"NODISTO - Nodisto IT, LLC"
444862,162.213.206.0,ARISE-VIRTUAL-SOLUTIONS-INC - Arise Virtual Solutions Inc.
444881,162.213.231.0,SOUTHERN-OHIO-COMMUNICATION-SERVICES - Southern Ohio Communication Services
444897,162.215.243.0,"OIS1 - Oso Grande IP Services, LLC"
444910,162.216.9.0,ANSI - Advanced Data Structures Inc.
444916,162.216.20.0,"APPFOLIO-2 - AppFolio, Inc."
444918,162.216.22.0,"APPFOLIO-1 - AppFolio, Inc."
444923,162.216.27.0,"CCG-AS - Columbia County, Georgia"
444937,162.216.51.0,HARRIS-COUNTY-AS - Harris County
444975,162.216.144.0,M2-CONNECTIONS - M2 Connections
444986,162.216.183.0,"MCL-INT-ALL - Maverick Capital, LTD."
444990,162.216.190.0,LYTTONNET - Lyttonnet
445028,162.217.13.0,SEN-1 - SmartEdgeNet LLC
445030,162.217.16.0,FORTIS - Fortis Telecom
445031,162.217.20.0,ROWE-NETWORKS - Rowe Wireless Networks LLC
445043,162.217.55.0,"ESVC-ASN - Eastern Shore Communications, LLC"
445044,162.217.56.0,LIKWID-INVERNESS - Likwid Communications Inc.
445055,162.217.76.0,KAYENTA - Kayenta Technologies
445073,162.217.116.0,GEMINI-EXCHANGE - Gemini
445078,162.217.124.0,SLABLE - Slable
445091,162.217.154.0,"NETDIVERSE-A - NetDiverse, LLC"
445106,162.217.187.0,COOK-COUNTY - Cook County
445131,162.217.239.0,KETACABLE - Keta Cable Inc
445132,162.217.240.0,FLEXITYSOLUTIONS-1 - FLEXITY SOLUTIONS INC
445135,162.217.246.0,TRACE-ONE - Trace One Inc.
445163,162.218.36.0,CRITICALMASS - Critical Mass Inc.
445184,162.218.75.0,USVD-24 - USVD LLC
445210,162.218.141.0,MITSUBISHI-UFJ-TRUST-BANKING - Mitsubishi UFJ Trust & Banking Corporation
445211,162.218.142.0,DIGITALEDGE-2 - DIGITAL EDGE VENTURES INC.
445235,162.218.199.0,ERC-SIN - Edgar Rental Corporation
445261,162.218.250.0,AITSL-27398 - Alyeska Information Technology Services LLC
445285,162.219.44.0,METHOD - Method Technologies Inc.
445293,162.219.56.0,"LT-WR - LT-WR, LLC"
445300,162.219.70.0,AS-CROSS - Cross Country TV Ltd
445329,162.219.135.0,HOPI - HOPI TELECOMMUNICATIONS
445330,162.219.136.0,WERCS-NET - Mountain West Technologies Corporation
445344,162.219.167.0,"CLAIMLYNX - ClaimLynx, Inc."
445348,162.219.171.0,ATC-INTERNET - The Adirondack Trust Company
445358,162.219.194.0,VISTABEAM - VISTABEAM
445363,162.219.203.0,"CYB-BLK-1 - Cybernet Communications, Inc."
445391,162.220.1.0,"VXCHNGE-PA02 - vXchnge Operating, LLC"
445395,162.220.7.0,BLACKMESH - BlackMesh Inc.
445401,162.220.30.0,SABEYIGX - SABEY INTERGATEEXCHANGE LLC
445408,162.220.49.0,"EXPRESS-WEB-SYSTEMS-INC - Express Web Systems, Inc."
445430,162.220.74.0,"VGPE-ASN1 - Velocity The Greatest Phone Company Ever, Inc."
445431,162.220.75.0,"TCSL - Time Clock Solutions, LLC"
445435,162.220.79.0,"PHILLIPSDATA - Phillips Data, Inc."
445449,162.220.108.0,"EIWIFI - Eastern Indiana WIFI, Inc."
445451,162.220.116.0,"US-KONTIKI - Kollective Technology, Inc."
445453,162.220.118.0,"US-KONTIKI-2 - Kollective Technology, Inc."
445458,162.220.132.0,"SAFETYNET1 - Safety NetAccess, Inc."
445484,162.220.168.0,ICTC - Inter-Community Telephone Co.
445496,162.220.210.0,CCM-NET2 - Collectivei
445501,162.220.215.0,"AS-MARCHESE-NET - Marchese Computer Products, Inc."
445502,162.220.216.0,"REDUNDANCY - VirtualComplete, LLC"
445510,162.220.226.0,"TBI-ASN-1 - TrueBlue, Inc."
445515,162.220.235.0,CLEARLINK - ClearLink
445519,162.220.239.0,"SDMICH - Summit Digital, INC."
445557,162.221.36.0,DITECH-MORTGAGE - Ditech Mortgage Corp
445565,162.221.60.0,2CONOC - 2checkout.com
445575,162.221.78.0,ACTIVENET1-AS-AP ACTIVENET PTY LTD
445578,162.221.82.0,"HRA - Health Resources Alliance, Inc."
445587,162.221.98.0,TELERX - Telerx Marketing Inc
445610,162.221.132.0,"SHWISP - Sandhills Wireless, LLC"
445616,162.221.156.0,CITRIXSYSTEMS-AS-US - Citrix
445620,162.221.172.0,AAIMED - ALLIANCE FOR ACADEMIC INTERNAL MEDICINE
445625,162.221.181.0,MSWIFIPR - M.S. Wifi Zone Inc.
445627,162.221.183.0,MCC-CORE - Municipal Code Corporation
445690,162.222.67.0,ULTRA-MOBILE - BA Telecom
445708,162.222.111.0,ZT - Zellius Telecommunications Inc.
445716,162.222.136.0,PDSI - Provision Data Systems Inc.
445717,162.222.140.0,"INOVADATA - Inova Data Solutions, Inc."
445722,162.222.155.0,WRF162 - Wiley Rein LLP
445723,162.222.156.0,CANADIANMUSUEMFORHUMANRIGHTS - Canadian Museum for Human Rights
445765,162.222.238.0,AIRLINK-INTERNET - AirLink Internet Services
445768,162.222.239.64,FIBERLINK - FiberLink
445796,162.223.25.0,"EDFINANCIAL-SERVICES-LLC - EDFINANCIAL SERVICES, LLC"
445808,162.223.44.0,PICANOC-AS - Reseau Picanoc.net Inc.
445813,162.223.52.0,ASN-SERVASTIC - Servastic
445818,162.223.60.0,"NE-AS1 - MCN Online, LLC"
445844,162.223.108.0,"TPGROUP - Teleperformance Group, Inc."
445848,162.223.121.0,"PSI-VEEAM - Perpetual Storage, Inc."
445852,162.223.125.0,"ISCINT - ISC INTERNATIONAL, LTD."
445853,162.223.126.0,"VANCOUVER-CLINIC - The Vancouver Clinic, Inc. P.S."
445875,162.223.159.0,"EQUINOX-PAYMENTS - Equinox Payments, LLC"
445901,162.223.228.0,PRETECS - PRETECS NETWORKS INC.
445912,162.223.247.0,"TAILLIGHT-DC0-HQ - Tail Light, LLC"
445917,162.223.252.0,BBHSOLUTIONS - BBH Solutions Inc.
445986,162.244.4.0,"WHITEHAT-US-01 - WhiteHat Security, Inc."
445990,162.244.18.0,SPEEDYNET - SpeedyNet
446021,162.244.76.0,VIRPUS - Wowrack.com
446056,162.244.158.0,XCONNECT24-AS - Xconnect24 Inc.
446057,162.244.159.0,APHELION-AS
446074,162.244.196.0,"AS-INTERMEDIA2 - Intermedia.net, Inc."
446112,162.245.28.0,WOWACCESS - WOW Access
446115,162.245.34.0,"YS-ENGINEERING-LLC - YS Engineering, LLC"
446118,162.245.39.0,C3-LLC - C3
446122,162.245.52.0,"Z57-AS-1 - Z57, Inc."
446127,162.245.62.0,BIG-SANDY-BROADBAND-INC - Big Sandy Broadband Inc
446130,162.245.74.0,"ASXCIE-SJC - Axcient, Inc"
446141,162.245.87.0,COLOUP - ColoUp
446145,162.245.102.0,"EDGENETWORKS - Edge IT, LLC"
446158,162.245.135.0,"VSW - VA SkyWire, LLC"
446160,162.245.137.0,GUGGE-ILDC - Guggenheim Services LLC
446166,162.245.150.0,BROADMOOR - Broadmoor Hotel Inc
446173,162.245.162.0,"SIRONA-DENTAL-NY - Sirona Dental, Inc."
446182,162.245.185.0,XLITT - Xlitt
446187,162.245.195.0,INTERSCHOLZ-INC
446221,162.245.248.0,KPU-CA-AS-1 - Kwantlen Polytechnic University
446231,162.246.35.0,HESS - Hess Corporation
446234,162.246.42.0,AS-VICOM - Vicom Computer Services Inc
446249,162.246.78.0,"TOYOTA-EXT - Toyota Motor Sales, U.S.A., Inc."
446265,162.246.118.0,VWC-NET - Vegas WiFi
446273,162.246.152.0,"HART-COMMUNICATIONS - HART COMMUNICATIONS, INC."
446275,162.246.160.0,NEOGOV - NEOGOV
446277,162.246.164.0,F-SECURE-AS-US - F-Secure Corporation
446279,162.246.168.0,"GOLDLASSO-AS - Gold Lasso, Inc."
446284,162.246.176.0,"AS-CONDUCTOR - Conductor, Inc."
446290,162.246.190.0,SWNINET - Southwestern Energy Company
446304,162.246.218.0,"SISA - SAMSUNG RESEARCH AMERICA, INC."
446307,162.246.228.0,BLOSSOM-TX - Blossom Telephone Company
446311,162.246.235.0,"ARRAYENT-CONNECT - Arrayent, Inc."
446343,162.247.59.0,SIPRADIUS - SipRadius
446350,162.247.66.0,ATC - ATC
446357,162.247.74.0,CALYX-AS - The Calyx Institute
446383,162.247.103.0,TISP - TISP LIMITED
446395,162.247.135.0,ICCNET - ILLINOIS CENTRAL COLLEGE
446397,162.247.144.0,LAKENET-LLC - LakeNet LLC
446401,162.247.155.0,TWINSERVERS - Twinservers Hosting Solutions Inc.
446412,162.247.168.0,ORIGEN - Origen
446415,162.247.174.0,"HUMEDICA - Humedica, Inc."
446425,162.247.194.0,PRINCE-GEORGES-INTERGOVERNMENTAL-NETWORK - PRINCE GEORGES INTERGOVERNMENTAL NETWORK COMMUNITY COORDINATING COMMITTEE
446439,162.247.219.0,QUALTRICS-01 - Qualtrics LLC
446443,162.247.240.0,NEWRELIC-AS-1 - New Relic
446447,162.247.247.0,LVSCU - Long View Systems Corporation (USA)
446451,162.247.251.0,COYOTE-LOGISTICS - COYOTE LOGISTICS LLC
446473,162.248.27.0,"ISCS - ISCS, Inc."
446474,162.248.32.0,AIRENET-1 - Airenet Internet Solutions
446483,162.248.56.0,CALBROADBAND - California Broadband Services
446487,162.248.66.0,BOCA-RATON-REGIONAL-HOSPITAL - Boca Raton Regional Hospital Inc.
446489,162.248.68.0,BRADFORD-COUNTY-FLORIDA - Bradford County Board of County Commissioners
446501,162.248.87.0,DOCUSIGN-CORP-IT - DocuSign
446524,162.248.131.0,SJMC-TCHD-3 - Teton County Hospital District
446526,162.248.133.0,OSONET - OSOLABS LLC
446551,162.248.175.0,ASN-BUDGETPHONE - BUDGET PHONE
446557,162.248.182.0,CLARITYHS - Clarity Web Hosting Inc.
446560,162.248.186.0,"DOCUS-6-PROD - Docusign, Inc"
446566,162.248.206.0,ZEBRAFISH - Zebrafish Labs Inc.
446573,162.248.216.0,"CMA-USA - CMA, Inc."
446613,162.249.36.0,COLOVORE - Colovore LLC
446615,162.249.42.0,HBNI - Hutterian Broadband Network Inc
446628,162.249.56.0,"ALLDIGITAL - Alldigital, Inc"
446632,162.249.63.0,NEW-DULCINA-AGRIDATA - New Dulcina Agridata LLC
446638,162.249.82.0,"BDO-SEIDMAN - BDO USA, LLP"
446640,162.249.86.0,NCI-58-13952 - New College Institute
446659,162.249.136.0,"TRAPP-CONNECT - Trapp Connect, LLC"
446667,162.249.144.0,"SKSRT - SPRUCE KNOB SENECA ROCKS TELEPHONE, INC."
446704,162.249.231.0,ARKWEST-COMMUICATIONS - Arkwest Communications Inc
446708,162.249.238.0,SNINTERNET-AS - Six Nations Internet
446709,162.249.240.0,CBTS-AS-DC1 - Cincinnati Bell Technology Solutions
446710,162.249.244.0,CBTS-AS-DC2 - Cincinnati Bell Technology Solutions
446729,162.250.15.0,COLUMBIA-NETWORKS - Columbia Networks Inc.
446750,162.250.55.0,RELIAM - Reliam Inc.
446751,162.250.56.0,"TECHVAULT-VT - TECH VAULT, INC."
446756,162.250.64.0,"PALIG - Pan-American Life Insurance Group, Inc."
446766,162.250.99.0,"PONYTECH Pony Technology Co., Ltd."
446783,162.250.132.0,EC-WISE - EC Wise
446787,162.250.136.0,GWU-CAAREN - The George Washington University
446791,162.250.143.0,QFISP-COMMUNICATIONS - QFISP LLC
446801,162.250.163.0,SKY-VALLEY-NETWORK-LLC - Sky Valley Network
446814,162.250.188.0,RICAWEBSERVICES - Rica Web Services
446822,162.250.208.0,RW - Ridge Wireless
446825,162.250.220.0,VODALINK - Vodalink Telecom Inc.
446832,162.250.231.0,DALLAS-DATACENTER - Dallas Data Center
446846,162.251.8.0,"ECPI - Electronic Corporate Pages, Inc"
446850,162.251.19.0,BONNECOMM - bonnecomm.net
446852,162.251.21.0,CLOUDIVLIMITED-AS Cloud Iv Limited
446876,162.251.67.0,NEXUSIS - Nexus IS
446884,162.251.79.0,INFOSAT - Infosat Communications LP
446908,162.251.136.0,GLOBEIX - HostRoyale LLC
446910,162.251.145.0,WEALTHFRONT-1 - Wealthfront Inc.
446917,162.251.159.0,"SMARTNETWORKS - Smart Networks,LLC"
446924,162.251.169.0,EVACOMM - EVACOMM CORPORATION
446931,162.251.180.0,"WIDEVOICE-MIA - WideVoice Communications, Inc."
446933,162.251.183.0,"WIDEVOICE-ORD - WideVoice Communications, Inc."
446941,162.251.191.0,"SURFNET-1 - Surfnet Communications, Inc."
446945,162.251.198.0,PAROLINK - Parolink.net
446949,162.251.206.0,AFFMDSYS - Affirmed Systems
446973,162.251.239.0,3NOM-WEST - 3nom
446996,162.252.13.0,"LIAISONBGP-W - Liaison Technologies, INC."
447005,162.252.42.0,"ASSOCIATION-TECHNOLOGIES - Association Technologies, Inc."
447038,162.252.96.0,VIDEO-DIRECT - VIDEO DIRECT SATELLITE & ENTERTAINMENT
447043,162.252.111.0,MORPHEUS - Morpheus Data LLC
447045,162.252.116.0,RDSB-ASN - Rainbow District School Board
447053,162.252.131.0,AS-COLLINS - COLLINS COMMUNICATIONS INC
447055,162.252.133.0,PNB-TRANSIT - Province of New Brunswick
447057,162.252.135.0,GNB-ORG - Province of New Brunswick
447066,162.252.166.0,LUNEXGROUP - Lunex Group Inc
447090,162.252.207.0,"SANDWICH-NET - Sandwich.Net, LLC"
447099,162.252.230.0,CHSNJ-ASN1 - Cooper University Hospital
447103,162.252.235.0,WEEMO-AS-1 - Sightcall Inc.
447105,162.252.237.0,"USVOIPSOL-AS - US VOIP Solutions, LLC"
447106,162.252.238.0,"SIPMEETING - Sipmeeting, LLC."
447115,162.252.250.0,WLC - Expert Service Providers LLC
447116,162.252.251.0,WLC-EXTON - White Label Communications LLC
447122,162.253.7.0,BOMGAR - Bomgar Corporation
447134,162.253.23.0,"STTX-SPOKANE - Spokane Tribe Telecommunications Exchange, LLC"
447144,162.253.51.0,NATIVENETWORK-1 - Native Network
447166,162.253.78.0,UNIVOIP - UniVoIP Inc.
447172,162.253.90.0,USSCO-AS19462 - Essendant Co.
447174,162.253.94.0,USSCO-AS - Essendant Co.
447175,162.253.96.0,CITYOFCOOKEVILLE - City of Cookeville
447185,162.253.115.0,"ROOTAXCESS-NET1 - Rootaxcess, LLC"
447187,162.253.120.0,JJT-GULFTECH - J & J Telecommunications
447214,162.253.160.0,XHOP - XHOP LLC
447218,162.253.171.0,"CHOICE-COMM - Choice Communications, LLC"
447225,162.253.181.0,OMNICELL - Omnicell Inc.
447227,162.253.184.0,LAREDOCONNECTIONS - Laredo Connections Inc
447232,162.253.195.0,HOUDINI-WCGB - Houdini Inc.
447234,162.253.200.0,BDBC-6-40449 - Business Development Bank of Canada
447236,162.253.208.0,UNOVA-1 - Unovation Inc.
447252,162.253.238.0,SPIRAL-COMMUNICATIONS - Spiral Solutions and Technologies Inc.
447264,162.253.254.0,OTTCOLO - ottcolo inc.
447267,162.254.1.0,MICRONODES-HOSTING
447271,162.254.5.0,SQITC-CN Hong Kong dwell Next Generation Carrier Network
447276,162.254.11.0,FLAGLER - Flagler College
447280,162.254.15.0,VESTA-CORP - Vesta Corporation
447300,162.254.54.0,JAVITS - Jacob K. Javits Convention Center
447304,162.254.68.0,ASGDC - Active Solutions Group
447309,162.254.83.0,"MGBAS01 - MGB Systems, Inc."
447325,162.254.111.0,CROWN-AS-1 - Crown Castle USA
447329,162.254.116.0,"HOSTDUPLEX - Host Duplex, LLC"
447335,162.254.131.0,ALSAT-WIRELESS - ALSAT Wireless
447343,162.254.140.0,ADRECOM - Adrecom
447370,162.254.171.0,"EVERYWHERE-WIRELESS-LLC - Everywhere Wireless, LLC"
447389,162.254.215.0,"FORENDATA - Foren Data, Inc."
447396,162.254.232.0,EMA-VEGAS-CORP - eMoney Advisor
447397,162.254.233.0,EMA-PRO - eMoney Advisor
447404,162.254.247.0,"ACPNY - AdvantageCare Physicians, P.C."
447409,162.255.20.0,"CYBERLYNK-PHX - Wisconsin CyberLynk Network, Inc."
447421,162.255.48.0,NETCLOUD-ASN - Netcloud Services
447429,162.255.63.0,"QXC-COMMUNICATIONS - QxC Communications, Inc."
447430,162.255.64.0,"OPS - City of Opelika, AL"
447432,162.255.70.0,WHYSYSTEMS - Why Systems LLC
447456,162.255.128.0,GTCH - Greektown Casino
447463,162.255.144.0,PRIMEXM-NETWORKS - PrimeXM Networks
447468,162.255.155.0,CASTLEGEM - Castlegem Inc.
447472,162.255.159.0,COLORADO-CENTRAL-TELECOM - Colorado Central Telecom
447484,162.255.184.0,WESTCO-ASN - Westco Internet
447492,162.255.206.0,NETWORKINV-AS1 - Network Innovations Inc.
447510,162.255.238.0,"SENSUS-DATACENTERS - Sensus USA, Inc."
447522,163.5.0.0,EPITECH
447524,163.7.0.0,SCION-AS-NZ-AP NZ Forest Research Institute Ltd
447525,163.7.128.0,AUT-NZ-AP Auckland University of Technology
447528,163.7.132.0,REANNZ-OFFICE REANNZ Head Office
447532,163.7.136.0,REDCABLES-NZ-AP WAND FAUCET-controlled multi-vendor production OpenFlow network
447535,163.7.142.0,REANNZ-KRISTIN-NZ-AP REANNZ Customer - Kristin School
447551,163.8.160.0,ENERGYAUST-AS AUSGRID
447554,163.10.0.0,Universidad Nacional de La Plata
447588,163.19.0.0,AS9916
447623,163.32.240.0,AS131150
447639,163.44.128.0,GMO-Z-COM GMO-Z.COM PTE. LTD.
447646,163.44.202.0,"GMO-Z-COM-TH GMO-Z com NetDesign Holdings Co., Ltd."
447649,163.44.206.0,AS131392
447672,163.47.36.0,BDREN-UGC-AS-AP Bangladesh Research and Education Network (BdREN)
447675,163.47.45.0,FIDESSA-AS-SG Fidessa ltd
447680,163.47.56.0,DBOLICALPTYLTD-AU DBOLICAL PTY LTD
447682,163.47.64.0,FRESHSTACK Freshstack Internet
447686,163.47.80.0,BANGLADESH-AS-AP Bangladesh Submarine Cable Company Limited (BSCCL)
447696,163.47.104.0,FLIP-AS-AP Flip Services Limited
447698,163.47.109.0,RACK-CENTRAL-AS-AP FourG Telecom
447700,163.47.111.0,TELECUBEPTYLTD-AS-AP Telecube Pty Ltd
447704,163.47.115.0,UNLIMITEDINTERNET-AS-AP Unlimited Internet Limited
447716,163.47.127.0,DEDAUS-AS-AP Dedicated Servers Australia
447742,163.47.159.0,FIBERATHOME-BD Fiber@Home Limited
447747,163.47.167.0,UBB-AS-AP Ultimate Mobile limited
447751,163.47.171.0,WL-AS-AP Wireline
447763,163.47.188.0,TAYLORCOMMUNICATIONS-AS-AP Taylor Communications Ltd
447770,163.47.203.0,SKSATECH1-MY SKSA TECHNOLOGY SDN BHD
447776,163.47.224.0,NAUTILE-NC-AS-AP Nautile
447779,163.47.231.0,BRSL-AS-AP Blue Reach Services Limited
447780,163.47.232.0,BTG-NZ BTG Networks
447816,163.53.31.0,MBIT-KH Maximum Business Information Technology
447826,163.53.69.0,PROPEXDERIVATIVES-AS-AP PROPEX DERIVATIVES PTY LTD
447831,163.53.75.0,AS132957
447835,163.53.79.0,FKNET-IN Flipkart Internet Pvt Ltd
447839,163.53.83.0,KISPL-AS-IN Kappa Internet Services Private Limited
447844,163.53.88.0,AS58997
447857,163.53.141.0,NOVOCOM-BD NovoCom Limited
447861,163.53.151.0,INTERCLOUDLTD-AS-AP InterCloud ltd
447870,163.53.183.0,DTECH-BD Dtech Limited
447891,163.53.207.0,AS58898
447905,163.53.224.0,OHANA-AS-AP Ohana Communications Sdn Bhd
447909,163.53.231.0,DCWEST-AS-AU-AP DC West Pty. Ltd.
447925,163.53.255.0,ABAWSPL-AS-AP ANTARIKSH BROADBAND AND WIRELESS SOLUTION PRIVATE LIMITED
448225,163.129.0.0,CCAC - Community College of Allegheny County
448274,163.137.192.0,AS17516
448278,163.138.192.0,KAIT-NWLAB Kanagawa Institute of Technology
448287,163.138.236.0,AS131155
448293,163.138.244.0,AS38639
448307,163.150.247.0,SBCSS - San Bernardino County Superintendent of Schools
448311,163.151.128.0,WESTCHESTERCOUNTY-NY - County of Westchester
448327,163.152.240.0,KUNET-AS Korea University
448340,163.157.2.0,Gothenburg
448342,163.158.128.0,KABELFOON CAIW Autonomous System
448350,163.162.170.174,ASN-CSELT # AS-CSELT CONVERTED TO ASN-CSELT FOR RPSL COMPLIANCE
448437,163.166.255.0,AS15914
448440,163.170.128.0,AHR-AS
448442,163.171.0.0,HMRC-AS
448469,163.171.107.0,AS38107
448532,163.174.0.0,ASN-PDMT
448539,163.174.115.192,ASN-JUSTIS
448543,163.174.122.0,ASN-NETACCESS
448592,163.177.220.0,AS134543
448626,163.178.224.0,Universidad de Costa Rica
448633,163.180.241.0,AS17870
448659,163.182.216.0,AS-TCCL-18 - Tuckersmith Communications Co-Operative Limited
448666,163.182.252.0,AS-HCCL-7 - Hay Communications Co-operative Limited
448741,163.211.128.0,AS17512
448755,163.220.252.0,AS37917
448760,163.226.0.0,AS24297
448762,163.228.96.0,"GLASSBRIDGE - GlassBridge Enterprises, Inc."
448782,163.230.255.0,SENTARA-HEALTH-CARE - Sentara Healthcare
448793,163.239.0.0,SOGANG-AS-KR sogang university
448827,163.244.246.0,"DELLCHINA Dell (China) Co.,Ltd"
448828,163.244.247.0,AS3614
448831,163.247.0.0,Ministerio del Interior y de Seguridad Publica - Gobierno de Chile
448855,163.251.121.0,AS619
448919,164.2.0.0,APHP-AS
448923,164.4.0.0,SANDVIK-AS
448928,164.8.144.0,UM
448966,164.10.255.0,SWEDBANK-AS
449005,164.39.96.0,TNT-EXP-ICS
449020,164.40.166.0,HTS-PET
449033,164.40.192.0,MDDSL-AS
449043,164.40.252.0,NEOTEL-AS-
449044,164.41.0.0,Fundação Universidade de Brasília
449057,164.44.66.0,ASN-CHUBBCORP - The Chubb Corporation
449073,164.47.19.0,CCCOES - Colorado Community College and Occupational Education System
449076,164.50.0.0,"CITYOFTEMPE - City of Tempe, Arizona"
449289,164.52.152.0,"DATA393-ASN2 - Latisys-Denver, LLC"
449398,164.64.0.0,STATE-NM-US - State of New Mexico
449400,164.66.0.0,"DNIC-ASBLK-01458-01460 - Headquarters, USAISC"
449410,164.73.0.0,Uruguay
449518,164.78.253.0,SINGAPORE-POLYTECHNIC-AS-AP Singapore Polytechnic
449575,164.83.128.0,COL-PUB-SCHOOLS-OH - Columbus Public Schools
449616,164.86.228.0,INTELSAT-S - Intelsat
449674,164.90.110.0,"SPACELABS-MEDICAL - SpaceLabs Medical, Inc."
449681,164.92.128.0,ASN-DPSD - Denver Public Schools
449687,164.97.41.0,DIBP-AS-AP DIBP
449835,164.100.248.0,NICNET-VSNL-BOARDER-AP National Informatics Centre
449839,164.104.0.0,POUDRESCHOOLDISTRICT - Poudre School District R-1
449896,164.111.128.0,UAB-AS - University of Alabama at Birmingham
